Navn;Stasjon;Tid(norsk normaltid);Homogenisert middeltemperatur (mnd);Homogenisert middeltemperatur, avvik fra normalen 19611990 (mnd)
Trondheim - Tyholt;SN68170;aug.51;15,1;2,1
Trondheim - Tyholt;SN68170;sep.51;10,6;1,3
Trondheim - Tyholt;SN68170;okt.51;6,2;0,4
Trondheim - Tyholt;SN68170;nov.51;1,1;0,3
Trondheim - Tyholt;SN68170;des.51;1,3;2,8
Trondheim - Tyholt;SN68170;jan.52;-4,8;1,7
Trondheim - Tyholt;SN68170;feb.52;-1,8;0,7
Trondheim - Tyholt;SN68170;mar.52;-1,6;1,7
Trondheim - Tyholt;SN68170;apr.52;5,7;2,5
Trondheim - Tyholt;SN68170;mai.52;8,3;0,4
Trondheim - Tyholt;SN68170;jun.52;10,3;1,7
Trondheim - Tyholt;SN68170;jul.52;12,6;0,6
Trondheim - Tyholt;SN68170;aug.52;11,6;1,4
Trondheim - Tyholt;SN68170;sep.52;6,2;3,1
Trondheim - Tyholt;SN68170;okt.52;3,3;2,5
Trondheim - Tyholt;SN68170;nov.52;-1,8;2,6
Trondheim - Tyholt;SN68170;des.52;-3,8;2,3
Trondheim - Tyholt;SN68170;jan.53;-2,5;0,6
Trondheim - Tyholt;SN68170;feb.53;-4,7;2,2
Trondheim - Tyholt;SN68170;mar.53;3,2;3,1
Trondheim - Tyholt;SN68170;apr.53;4;0,8
Trondheim - Tyholt;SN68170;mai.53;7,8;0,9
Trondheim - Tyholt;SN68170;jun.53;16,4;4,4
Trondheim - Tyholt;SN68170;jul.53;14,5;1,3
Trondheim - Tyholt;SN68170;aug.53;13,3;0,3
Trondheim - Tyholt;SN68170;sep.53;9;0,3
Trondheim - Tyholt;SN68170;okt.53;7,2;1,4
Trondheim - Tyholt;SN68170;nov.53;3,3;2,5
Trondheim - Tyholt;SN68170;des.53;0,1;1,6
Trondheim - Tyholt;SN68170;jan.54;-4,2;1,1
Trondheim - Tyholt;SN68170;feb.54;-5,5;3
Trondheim - Tyholt;SN68170;mar.54;0,2;0,1
Trondheim - Tyholt;SN68170;apr.54;2,8;0,4
Trondheim - Tyholt;SN68170;mai.54;11,4;2,7
Trondheim - Tyholt;SN68170;jun.54;10,6;1,4
Trondheim - Tyholt;SN68170;jul.54;14,1;0,9
Trondheim - Tyholt;SN68170;aug.54;12,6;0,4
Trondheim - Tyholt;SN68170;sep.54;8,6;0,7
Trondheim - Tyholt;SN68170;okt.54;4,4;1,4
Trondheim - Tyholt;SN68170;nov.54;1,4;0,6
Trondheim - Tyholt;SN68170;des.54;0,2;1,7
Trondheim - Tyholt;SN68170;jan.55;-2,8;0,3
Trondheim - Tyholt;SN68170;feb.55;-5,7;3,2
Trondheim - Tyholt;SN68170;mar.55;-2,1;2,2
Trondheim - Tyholt;SN68170;apr.55;1,2;2
Trondheim - Tyholt;SN68170;mai.55;5,1;3,6
Trondheim - Tyholt;SN68170;jun.55;10;2
Trondheim - Tyholt;SN68170;jul.55;14,7;1,5
Trondheim - Tyholt;SN68170;aug.55;14,1;1,1
Trondheim - Tyholt;SN68170;sep.55;9,9;0,6
Trondheim - Tyholt;SN68170;okt.55;3,5;2,3
Trondheim - Tyholt;SN68170;nov.55;1,4;0,6
