species;kingdom;phylum;tempcat;N;Duration;regslope_year_leading;se_year_leading;regslope_temp_leading;se_temp_leading
Saxifraga cespitosa;Plantae;Tracheophyta;cold;13;55;0.0157366529706705;0.0187313723038618;-0.273487944983303;0.314185348379816
Saxifraga cotyledon;Plantae;Tracheophyta;generalist;33;55;-0.00320226424160023;0.00487338283644276;-0.311204867746408;0.0811050865511381
Saxifraga oppositifolia;Plantae;Tracheophyta;semicold;40;118;0.00130843565657364;0.00455573933837394;-0.0827759492119202;0.0993961544818199
Saxifraga rivularis;Plantae;Tracheophyta;cold;16;62;0.00138846509678494;0.013146329215243;-0.274083940114589;0.251831243844227
Saxifraga tridactylites;Plantae;Tracheophyta;generalist;4;67;-0.00596538036594435;0.00476546587832998;-0.137714704844785;0.175802223791453
Scapania aspera;Plantae;Marchantiophyta;generalist;4;107;-0.000181076539391532;0.00376272284242827;0.0653770494500772;0.0913163939204721
Scapania curta;Plantae;Marchantiophyta;generalist;4;78;0.0029348336112846;0.0084312672036284;1.24476391112998;1.30920111209092
Scapania uliginosa;Plantae;Marchantiophyta;semicold;2;61;0.00594376047292939;NA;0.645859056030012;NA
Scapania umbrosa;Plantae;Marchantiophyta;generalist;16;99;0.0122563008356268;0.0041011693285436;0.209049939979039;0.107366791971909
Scapania undulata;Plantae;Marchantiophyta;generalist;9;111;0.00798946670902905;0.0040522118417107;0.381155850133787;0.089505913431325
Scaphander lignarius;Animalia;Mollusca;generalist;4;50;-0.0111747312065347;0.000415645296232007;-0.282249448584768;0.0670379861269733
Scheuchzeria palustris;Plantae;Tracheophyta;generalist;24;71;-0.00521377815703258;0.00724885805677928;-0.165805584636927;0.138636651051714
Schistidium maritimum;Plantae;Bryophyta;generalist;2;97;0.000195876288659887;NA;0.00738914330756207;NA
Schistidium papillosum;Plantae;Bryophyta;generalist;15;96;0.0181339809410093;0.00536830128399975;0.274617885955481;0.167205832588427
Schistochilopsis incisa;Plantae;Marchantiophyta;generalist;8;102;0.0180310948935;0.004610214917189;0.456922890032138;0.219230823096789
Schistostega pennata;Plantae;Bryophyta;generalist;3;89;0.0151066186911059;0.000177503348057166;0.571125208900848;0.134196294734974
Schljakovianthus quadrilobus;Plantae;Marchantiophyta;cold;4;73;0.0133950743727907;0.0105325348410179;-0.186628882870719;0.537624073985879
Schoenus ferrugineus;Plantae;Tracheophyta;generalist;17;71;0.002500715694436;0.00545708976610997;-0.0556463026495295;0.110918684993694
Scirpus sylvaticus;Plantae;Tracheophyta;generalist;15;58;0.0133306887574813;0.00640837323420947;0.27488589386884;0.144650623823814
Sciuro-hypnum plumosum;Plantae;Bryophyta;generalist;4;61;-0.00562092334811436;0.028049202773664;0.0206200664464579;0.617861792688781
Scolopax rusticola;Animalia;Chordata;generalist;2;49;0.00100385714285714;NA;0.0662324724824565;NA
Scorpidium revolvens;Plantae;Bryophyta;generalist;7;101;0.011093271465053;0.00730198132703496;0.306001122506503;0.233686150441467
Scorzoneroides autumnalis;Plantae;Tracheophyta;generalist;7;79;-0.0037934541083913;0.00585978953686408;-0.339530992877299;0.197016408746598
Scrophularia nodosa;Plantae;Tracheophyta;generalist;21;54;0.00240037222289955;0.00782100741484206;-0.158892158246382;0.12936574591264
Scutellaria galericulata;Plantae;Tracheophyta;generalist;15;49;0.00635568048706325;0.00918560840911895;0.0517852939759439;0.1320368674091
Sedum anglicum;Plantae;Tracheophyta;warm;6;51;0.00532540994991578;0.00248406725862185;-0.0713996033549501;0.0667750880849134
Sedum annuum;Plantae;Tracheophyta;generalist;23;54;-0.00612119367897565;0.00746436762192499;-0.314474732608091;0.102248540695014
Selaginella selaginoides;Plantae;Tracheophyta;semicold;37;79;0.00940013250431224;0.00592200326501564;0.0391742068933035;0.116709781786267
Seligeria diversifolia;Plantae;Bryophyta;semicold;10;109;0.00156124099257184;0.00673745911650166;0.140173912216389;0.133350977775549
Seligeria recurvata;Plantae;Bryophyta;generalist;13;109;0.0032421991308168;0.00404309637794104;0.00780515309766533;0.10413951036149
Sialis lutaria;Animalia;Arthropoda;generalist;7;53;0.00165620771330464;0.00128609345232283;0.0221933055226774;0.0236761361841444
Sibbaldia procumbens;Plantae;Tracheophyta;cold;22;60;-0.0358340452645622;0.00946529126837642;-0.378287087755427;0.251219648269693
Sigara distincta;Animalia;Arthropoda;generalist;15;49;0.00521107057469953;0.015084521284382;0.0402462412853839;0.205436537933182
Silene acaulis;Plantae;Tracheophyta;semicold;28;61;-0.0256310446387691;0.00913850030849685;-0.429592691215244;0.163026130813935
Silene flos-cuculi;Plantae;Tracheophyta;generalist;15;68;0.00787623113190909;0.00998550922889911;-0.0893422349828321;0.19232851678121
Silene suecica;Plantae;Tracheophyta;cold;72;119;0.00520506685693014;0.00418302938657587;-0.0586720548514829;0.121008668038683
Silene vulgaris;Plantae;Tracheophyta;generalist;15;49;-0.0298052046788375;0.0147534990453755;-0.695155036377396;0.156353834787525
Siphonoperla burmeisteri;Animalia;Arthropoda;semicold;40;69;-0.00867408290606194;0.00383255939462643;-0.039709976882133;0.0567306781636064
Siphula ceratites;Fungi;Ascomycota;generalist;4;52;0.0249832071825371;0.00559350598244945;-0.189859833554923;0.452373313751633
Sitta europaea;Animalia;Chordata;generalist;3;62;0.00550876444043291;0.0110366939222588;0.644821585474806;0.686652670197923
Solanum lycopersicum;Plantae;Tracheophyta;semiwarm;8;79;0.00113656665627222;0.000339352452996934;0.0358702904698931;0.0126639018548411
Somateria mollissima;Animalia;Chordata;generalist;8;97;-0.0194749089667361;0.00302502902157034;-0.289929297107165;0.278128470437991
Sonchus arvensis;Plantae;Tracheophyta;generalist;13;64;0.0164560880555019;0.00915609455515184;-0.22277431830512;0.177883966960622
Sorex araneus;Animalia;Chordata;generalist;6;99;0.0137325074871534;0.0100227153373623;0.620999607363642;0.447851934178063
Sorex minutus;Animalia;Chordata;generalist;4;59;0.0101772436065574;0.00760345045664934;-0.184429717685869;0.296578371469385
Sparganium angustifolium;Plantae;Tracheophyta;generalist;24;62;0.0120044725330177;0.00777521059835358;-0.0905846100135276;0.175873559472308
Sparganium emersum;Plantae;Tracheophyta;generalist;2;64;0.00152671875000015;NA;-0.13433874506364;NA
Sparganium natans;Plantae;Tracheophyta;generalist;12;49;0.0289422452409341;0.0131912189744465;0.101985369097151;0.251949331236273
Spergularia marina;Plantae;Tracheophyta;generalist;56;113;0.00749649209450474;0.00221697241935969;0.0734013122335886;0.0674036762737719
Sphagnum angustifolium;Plantae;Bryophyta;generalist;22;55;-0.00140777316420357;0.00653597791278602;-0.185562990223871;0.104479353182879
Sphagnum balticum;Plantae;Bryophyta;generalist;14;51;-0.00509946593917829;0.0115825763575219;-0.134597086656356;0.175488028401475
Sphagnum capillifolium;Plantae;Bryophyta;generalist;21;106;-0.00239876660858534;0.00471515209204603;-0.0945383093451072;0.116603041035714
Sphagnum compactum;Plantae;Bryophyta;generalist;15;113;0.0135397451544997;0.00441396295662786;0.103700234133461;0.134546231165074
Sphagnum divinum;Plantae;Bryophyta;generalist;7;53;-0.00909545148915758;0.00628655590354799;-0.220588111202341;0.156875079997988
Sphagnum fallax;Plantae;Bryophyta;generalist;25;51;0.00137975931195726;0.00708616832389809;-0.138648148949748;0.115576328899239
Sphagnum flexuosum;Plantae;Bryophyta;generalist;17;82;0.00296735432385696;0.00681963464794676;-0.168959911761387;0.145838198314402
Sphagnum fuscum;Plantae;Bryophyta;generalist;18;55;-0.00678793282855049;0.0059729728429347;-0.118500627877984;0.0818565434726441
Sphagnum girgensohnii;Plantae;Bryophyta;generalist;18;107;0.00534011239656202;0.00627022470885005;-0.140295722624853;0.130602858640686
Sphagnum isoviitae;Plantae;Bryophyta;generalist;32;52;0.000409395384837622;0.00700659216200044;-0.139743951029848;0.104840644807911
Sphagnum lindbergii;Plantae;Bryophyta;generalist;18;113;0.00458523350964423;0.00643950618762411;-0.106684750280722;0.161974913315188
Sphagnum papillosum;Plantae;Bryophyta;generalist;35;106;0.00326258476985698;0.00389657116513913;-0.0395043143052986;0.0733970850395465
Sphagnum platyphyllum;Plantae;Bryophyta;generalist;9;50;0.00119043275038635;0.0162086933043382;-0.0959869110452812;0.290024583488007
Sphagnum riparium;Plantae;Bryophyta;generalist;10;110;-0.0058337917137588;0.0051776560300933;-0.232255173785683;0.155334375328434
Sphagnum rubellum;Plantae;Bryophyta;generalist;29;55;0.00268305178806488;0.0065285043696532;-0.011717494499417;0.106628352938214
Sphagnum rubiginosum;Plantae;Bryophyta;generalist;12;100;0.00689823288365214;0.00520026957499732;-0.0639658630964546;0.168787632686453
Sphagnum russowii;Plantae;Bryophyta;generalist;22;112;0.000409844549379255;0.0062003476516006;-0.155470122576618;0.110498530306794
Sphagnum squarrosum;Plantae;Bryophyta;generalist;9;52;0.000855420179711463;0.00886275825126258;-0.0331770548231353;0.186986407373832
Sphagnum subnitens;Plantae;Bryophyta;generalist;24;55;-0.00332208230592622;0.00831922222825139;-0.123349737716194;0.140203789884213
Sphagnum subsecundum;Plantae;Bryophyta;generalist;18;53;-0.00902705357721249;0.00789229060111082;-0.228307566914535;0.141343247440432
Sphagnum tenellum;Plantae;Bryophyta;generalist;20;106;0.00646769183559147;0.00392977147600113;0.0925918717774449;0.101157073920754
Sphagnum teres;Plantae;Bryophyta;semicold;13;52;0.00924008819702653;0.00978168010797637;-0.157224637182258;0.161764597732577
Sphagnum warnstorfii;Plantae;Bryophyta;semicold;19;117;0.0074821050650978;0.00583657465067076;0.0206745866604086;0.161856736032163
Sphenolobus minutus;Plantae;Marchantiophyta;generalist;15;100;0.0234520727430176;0.00712496529899124;0.618112499780003;0.207991227949506
Stellaria crassifolia;Plantae;Tracheophyta;generalist;9;53;0.00617599048319266;0.0201570510925267;-0.144293068648147;0.353104209043487
Stellaria graminea;Plantae;Tracheophyta;generalist;35;58;-0.00573109373785253;0.00596364070286694;-0.238548787981554;0.105864930113245
Stellaria longifolia;Plantae;Tracheophyta;generalist;13;55;-0.00529154674877149;0.0116477387903374;-0.36523798928877;0.179980667348886
Stellaria nemorum;Plantae;Tracheophyta;generalist;29;65;-0.0135527889767956;0.00743260902491734;-0.41947436900258;0.111832561482327
Stercorarius parasiticus;Animalia;Chordata;generalist;2;49;-0.0335963673469392;NA;-0.452563523165246;NA
Stereocaulon vesuvianum;Fungi;Ascomycota;generalist;3;53;0.0161411122780238;0.000511182555321946;1.66852493263585;2.63851192387292
Steromphala cineraria;Animalia;Mollusca;generalist;21;102;-0.00297175241689358;0.00260371671671553;-0.101278522901412;0.0640369289522402
Struthiopteris spicant;Plantae;Tracheophyta;generalist;44;70;0.00330115265249223;0.00538638285074933;-0.0762117425384594;0.108821643734577
Sturnus vulgaris;Animalia;Chordata;generalist;4;59;-0.00603564954723122;0.00244143658567794;-0.167637491287946;0.217498957294233
Suaeda maritima;Plantae;Tracheophyta;semiwarm;5;53;0.0248791010322586;0.0132075917551678;0.0432460570606061;0.37552965522197
Succisa pratensis;Plantae;Tracheophyta;generalist;39;54;-0.00295813730272447;0.00758599965204436;-0.150237433881285;0.123474279352201
Syntrichia ruralis;Plantae;Bryophyta;generalist;8;106;0.00788380625894035;0.00549054653963945;0.323097926550229;0.144158440146555
Tachinus pallipes;Animalia;Arthropoda;semicold;3;62;-0.000998493259318268;2.03972676387122e-05;0.216258694939451;0.0375414432393293
Tayloria lingulata;Plantae;Bryophyta;cold;2;70;-0.0131388538383901;NA;-8.95339628566763;NA
Tectura virginea;Animalia;Mollusca;semicold;14;102;-0.00290955553445098;0.00301072254085258;-0.0585454148117;0.0671616402520135
Testudinalia testudinalis;Animalia;Mollusca;cold;7;102;-0.00231081897656387;0.0011025493800202;-0.0568050436841059;0.0332364217512318
Tetralophozia setiformis;Plantae;Marchantiophyta;generalist;4;115;0.00590361153224775;0.00265577233144634;0.172528427263973;0.0463977585488145
Tetrao urogallus;Animalia;Chordata;generalist;5;104;-0.00790707987162092;0.00435683793925859;-0.263179630624846;0.0877385855755039
Tetraplodon mnioides;Plantae;Bryophyta;semicold;8;110;0.0189515989531188;0.00638758793943197;0.150448045656773;0.382720312280204
Thalictrum alpinum;Plantae;Tracheophyta;semicold;36;112;-0.00480293792991295;0.00605978933990853;-0.217755925410744;0.140233203297513
Thalictrum flavum;Plantae;Tracheophyta;generalist;22;60;-0.00588074249381317;0.00710208344796293;-0.05637962322975;0.136209031456309
Timmia bavarica;Plantae;Bryophyta;cold;2;67;-0.00550805970149255;NA;-0.83211263430901;NA
Tofieldia pusilla;Plantae;Tracheophyta;semicold;37;106;-0.015823129881396;0.00546109493655747;-0.173892825547243;0.124573831091942
Tortella tortuosa;Plantae;Bryophyta;generalist;25;70;0.00701976117801995;0.00719426293037114;0.314666643970402;0.140505636912034
Tortula subulata;Plantae;Bryophyta;generalist;3;98;0.00177992111076007;5.50696326500558e-05;0.0707125097653382;0.00511962644766142
Trichophorum cespitosum;Plantae;Tracheophyta;generalist;36;104;-0.00169468603409949;0.00539287342445874;-0.157710644152767;0.118468026694265
Triglochin palustris;Plantae;Tracheophyta;generalist;30;55;0.0124040565011499;0.0066109113924983;-0.0314207839715246;0.107225206087831
Trilophozia quinquedentata;Plantae;Marchantiophyta;generalist;14;108;0.019557073671968;0.00593917979179453;0.45839898300808;0.148779070128698
Tripleurospermum subpolare;Plantae;Tracheophyta;semicold;22;71;-0.00363786068077723;0.00607815761417919;-0.13591372845534;0.199761894164539
Tritia incrassata;Animalia;Mollusca;generalist;4;102;-0.00211361719294377;0.000161706772085378;-0.0499470643596026;0.0103964144106451
Trollius europaeus;Plantae;Tracheophyta;semicold;11;54;0.00990392243837857;0.010608514343041;-0.10092493138914;0.210333856728027
Turdus iliacus;Animalia;Chordata;cold;4;107;-0.0176841969285177;0.00958312446906207;-0.404032205531154;0.297175461932922
Turdus philomelos;Animalia;Chordata;semicold;2;96;-0.00742388541666663;NA;-0.335122100313482;NA
Turdus pilaris;Animalia;Chordata;cold;13;95;-0.00778117619283836;0.00195112136542829;-0.136326627679011;0.121321824112328
Turritella communis;Animalia;Mollusca;semiwarm;10;86;-0.00173115426448712;0.00139264738386522;-0.0534513042337395;0.0334996411702743
Udea lutealis;Animalia;Arthropoda;generalist;5;69;-0.0120659576600272;0.00532068775897173;-0.0663740700690878;0.181306909247193
Ulmus glabra;Plantae;Tracheophyta;generalist;36;60;0.00261520202873635;0.00487830099004365;-0.064701542726782;0.100923354752267
Ulota drummondii;Plantae;Bryophyta;generalist;4;99;0.00789290883035509;0.00230285785623302;0.214382042421927;0.0410367623267461
Ulota phyllantha;Plantae;Bryophyta;semiwarm;2;101;0.00200653465346551;NA;0.132267553081599;NA
Uria aalge;Animalia;Chordata;generalist;2;98;-0.0094762653061224;NA;-0.76367799283956;NA
Usnea dasypoga;Fungi;Ascomycota;generalist;14;72;0.00597383862238776;0.00627551009607064;-0.0867431355551263;0.147426977321532
Utricularia intermedia;Plantae;Tracheophyta;generalist;17;64;0.0139581794817033;0.00524071182856876;0.151824863558133;0.109143985085516
Utricularia minor;Plantae;Tracheophyta;generalist;11;61;0.0252107909147055;0.0114413407362438;0.163295412866465;0.242960245332825
Utricularia vulgaris;Plantae;Tracheophyta;generalist;5;63;0.00680754198805875;0.0188426318712722;-0.466641180630818;0.346748399335562
Vaccinium microcarpum;Plantae;Tracheophyta;semicold;65;101;0.00502640942716858;0.00432681634628436;-0.0467017468998289;0.112998857152752
Vaccinium myrtillus;Plantae;Tracheophyta;generalist;31;104;-0.0174803291943233;0.00718810111240928;-0.342097873931405;0.143337603585425
Vaccinium oxycoccos;Plantae;Tracheophyta;generalist;58;116;0.00164178951639785;0.00275162507451051;0.0122445988495674;0.0806767660251315
Vaccinium uliginosum;Plantae;Tracheophyta;generalist;31;104;-0.0203614407230756;0.00724657039110292;-0.299468803895611;0.146665823393463
Valeriana excelsa;Plantae;Tracheophyta;generalist;76;117;0.00407813645775533;0.00290254216117495;-0.114182096021475;0.0830932133735721
Veronica alpina;Plantae;Tracheophyta;cold;29;67;-0.0175190108410054;0.00933425467189622;-0.316302261966328;0.172693535554814
Veronica arvensis;Plantae;Tracheophyta;generalist;7;65;0.0011585875043148;0.004601766595347;0.124807567664651;0.138318443622757
Veronica beccabunga;Plantae;Tracheophyta;generalist;12;58;-0.000361059600971266;0.00270891151163197;0.0419099233626611;0.0601952382589645
Veronica fruticans;Plantae;Tracheophyta;semicold;20;63;-0.0122800919478788;0.0108877743847123;-0.403424025764059;0.201596057780545
Veronica scutellata;Plantae;Tracheophyta;generalist;14;60;0.00246881136939636;0.00650784101798299;-0.0673574468288567;0.112836723436888
Veronica serpyllifolia;Plantae;Tracheophyta;generalist;26;53;-0.0276563359602434;0.00835391286330192;-0.288111534486105;0.148166868891225
Viburnum opulus;Plantae;Tracheophyta;generalist;21;58;-0.00586318256043424;0.00680337947538586;-0.168479085132777;0.143927290972855
Vicia sepium;Plantae;Tracheophyta;generalist;33;51;-0.00529479518467396;0.00787405193161311;-0.29490440934808;0.115954844088968
Vicia sylvatica;Plantae;Tracheophyta;generalist;34;55;0.00334821457005625;0.00618349074403415;-0.178124494339736;0.108121809846982
Viola biflora;Plantae;Tracheophyta;cold;34;106;-0.0133768695132941;0.00631988453203462;-0.220827421360174;0.130328599976293
Viola canina;Plantae;Tracheophyta;generalist;49;80;0.00813478981368953;0.00412600204720376;-0.078496976864961;0.0966911765055545
Viola epipsila;Plantae;Tracheophyta;semicold;8;56;-0.0069394256559995;0.0113166917137638;-0.427883647190836;0.199442367226358
Viola mirabilis;Plantae;Tracheophyta;generalist;28;70;-0.00352170260690381;0.00584657335812613;-0.175879912065337;0.112668245055414
Viola palustris;Plantae;Tracheophyta;generalist;38;111;-0.0153022978089505;0.00580518671802867;-0.258914526398073;0.116174747967477
Viola riviniana;Plantae;Tracheophyta;generalist;50;83;0.00605538768620023;0.00398167854425702;-0.223160742758556;0.0943055679512761
Volvopluteus gloiocephalus;Fungi;Basidiomycota;generalist;2;66;0.0122961338735813;NA;0.479599837290823;NA
Woodsia alpina;Plantae;Tracheophyta;semicold;20;62;-0.0090512138797058;0.00887468946655703;0.0423633421504983;0.157102713923363
Woodsia ilvensis;Plantae;Tracheophyta;generalist;28;66;0.00136241812343739;0.00539644739152039;-0.201670342250282;0.101593845571127
Xanthorhoe decoloraria;Animalia;Arthropoda;cold;6;58;-0.0163421702168309;0.0196229224592404;-0.605759479735704;0.290158395933343
